discoverymethod,disc_year,pl_rade,pl_masse,pl_orbper,pl_dens,pl_orbeccen
Radial Velocity,2003,,,2124.54,,0.175
Transit,2011,2.75,20.1,77.61184,4.07,0.6
Transit,2016,3.81,,105.9564148,,0.0
Transit,2014,,,5.9965371126,,
Transit,2018,1.5,,3.835376,,
Transit,2015,10.8,,3.7999139,,
Transit,2013,2.15,,59.87756,,0.25
Transit,2016,,,10.0354072958,,
Transit,2014,1.21,,0.669309686,,0.0
Transit,2009,,,3.7520997,,
Transit,2016,10.703,,,,
Transit,2012,15.35633,285.72917,5.01718,0.44,0.044
Transit,2014,,,67.09342695,,
Transit,2016,3.0,,40.10999,,0.0
Transit,2014,1.268,,5.43312169,,
Transit,2016,1.37,,3.81371423,,0.0
Transit,2016,1.98,,62.9147,,0.0
Transit,2022,1.37,,5.7619248,,
Transit,2020,2.7,,29.66629667,,0.0
Transit,2016,2.17,,184.771853,,0.0
Transit,2023,0.69419998,,3.03263998,,
Microlensing,2022,,19.06970442,,,
Transit,2021,7.44,,14.86386959,,
Transit,2016,2.43,,4.919583795,,0.0
Transit,2016,,,11.5509796,,
Transit,2017,,,1.48111871,,
Transit,2016,,,16.4737572858,,
Transit,2016,,,1.80988452,,0.0067
Transit,2014,2.671,,12.56092796,,
Transit,2018,11.859122,123.00021,11.168459,0.405,0.255
Transit,2014,,,5.3418531574,,
Transit,2014,,,13.0607936,,
Transit,2014,,,7.41683033,,
Radial Velocity,2002,,,227.0,,0.297
Transit,2016,1.01,,0.5879933,,0.0
Transit,2016,0.98,,14.00948631,,0.0
Transit,2014,3.17,,33.6529701,,
Transit,2016,0.8,,2.358951515,,0.0
Radial Velocity,2020,,,121.995,,0.19
Transit,2016,,,12.2064304,,
Transit,2012,3.72,5.9,27.4029,0.62,0.03
Radial Velocity,2010,,8.4,2.64561,,0.08
Transit,2016,,,7.84931877,,
Transit,2014,,,72.3826983,,
Transit,2016,,,4.5513988,,
Transit,2012,2.33,11.4,20.09,,
Transit,2016,,,16.8320694954,,
Radial Velocity,1999,,,572.38,,0.73
Transit,2016,6.46,,47.14840805,,0.0
Transit,2014,0.78,,2.465031,,0.0
Transit,2021,,,13.8353959,,
Transit,2016,2.46,,17.44490636,,
Transit,2014,2.49,,4.138536769,,0.0
Transit,2016,,,1.003931703,,
Transit,2024,1.83347689,,2.67961636447,,
Transit,2016,,,10.35585454,,
Radial Velocity,2019,,,3.2696,,0.45
Transit,2021,1.92872921,,3.016190052,,
Transit,2014,1.08,,53.5782,,0.0
Transit,2021,,,6.5660634,,
Transit,2014,,,10.04372368,,
Transit,2024,1.75365438,,0.84742180175,,
Transit,2014,31.46,,19.7240891,,0.0
Transit,2011,2.976,,,,
Transit,2014,1.2,,6.66834872,,0.0
Transit,2014,2.371,,12.75934834,,
Microlensing,2022,,16.3,,,
Radial Velocity,2005,,,2.21857567,0.943,
Transit,2014,1.32,,10.43547805,,0.0
Transit,2021,0.89,,5.363717,,0.0
Transit,2010,,50.4464,118.37867,0.052,
Transit,2014,2.95,,37.5140693,,
Transit,2016,2.3,,30.4549136,,0.0
Radial Velocity,2024,,,966.5,,0.092
Transit,2023,2.44300008,,26.75749969,,
Radial Velocity,2007,,,36.9987,,0.0796
Radial Velocity,2010,,,282.4,,0.26
Radial Velocity,2009,,4703.8604236,1175.0,,0.51
Transit,2016,,,53.5988950691,,
Transit,2016,,,22.248205723,,
Transit,2022,2.60168,,13.7905315,,
Transit,2014,,,2.84938206,,
Transit,2014,1.89,,4.309381978,,0.0
Transit,2014,,,10.08881066,,
Transit,2014,2.81,,10.041555,,0.0
Transit,2018,2.41,,14.130142,,
Radial Velocity,2017,,,6.4898,,0.066
Transit,2016,0.85,,6.83437001,,0.0
Transit,2014,2.09,,24.67464211,,0.0
Transit,2014,3.8,,3.295703644,,0.0
Transit,2017,1.94,,5.44425,,
Radial Velocity,2001,,,496.9,,0.085
Transit,2016,1.89,,7.75192755,,0.0
Transit,2015,3.6,10.4,9.03079,1.2,
Transit,2008,,483.1016,3.0763373,,0.0
Transit,2016,1.57,,4.14787559,,0.0
Transit,2023,3.71,,453.543999,,0.0
Transit,2016,1.2,,0.684559,,
Transit,2011,,,17.25121397,,
Transit,2023,2.80224517,7310.053361,19.00547,2000.0,0.36
Transit,2014,,,17.46082827,,
Transit,2016,4.67,,124.4198398,,0.0
Transit,2016,2.87,,9.940666412,,0.0
Transit,2014,3.1,,34.035257,,
Transit,2021,,,8.27741559,,
Transit,2016,,,56.1886436,,
Transit,2014,,,6.98800953,,
Transit,2009,2.742,8.17,1.58040433,2.2,0.063
Radial Velocity,2005,,,1945.0,,0.041
Transit,2016,4.624,,,,
Transit,2016,,,6.96704926,,
Transit,2019,17.295487,233.92288,1.645321,0.248,0.0
Transit,2014,1.07,,11.4485946,,0.0
Transit,2020,1.03,,4.73292085,,0.0
Transit,2010,15.13215,281.91521,2.828042,0.448,
Transit,2016,1.41,,3.773682,,0.0
Transit,2016,,,101.952023242,,
Transit,2011,,,3.47447703,,
Transit,2018,3.8,,1.921076,,
Transit,2021,2.66065673,,122.0800018,,
